x_21,x_48,x_49,x_53,x_54,x_55,x_59,x_60,x_64,y_7,y_9,y_10,y_19,y_20,y_21,y_22,y_23,y_24,y_48,y_49,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,texInterSourcil1,h_nez_ment,h_bouche_int,oeil_d_sourcil,oeil_g_sourcil,inter_sourcil,relat_oeil_d_1,relat_oeil_d_2,relat_oeil_g_1,relat_oeil_g_2,relat_bouche_int
204.99471692785056,176.27031291715116,199.72694829422448,276.8190461227629,295.94943508128256,277.53707721101586,199.31578482050685,187.25809990567757,286.26617407745044,403.208399757111,406.4974065487018,393.5138513226314,102.61840265072618,107.72889975066454,117.70909543006218,116.4418932160421,105.795739128445,101.93348135903915,313.3380274412104,298.3389885987317,300.40172892478387,313.55399361426487,329.11650099466414,335.8857989025512,337.12606178209273,335.4314421942226,329.19370702029266,312.31508522640104,308.5911361071952,309.8911471196306,308.72116730825377,313.7117166451785,312.29552034661214,313.1106233384331,311.6906645629843,0.1251,143.50225799069526,3.222478103206243,45.09648699765773,45.85738942374943,61.351996306334705,3.487830961597239,3.701264179983452,3.762999212746528,3.7350420830221442,0.03254439159719661
209.0649530838395,182.7371561349794,203.08963482591759,274.18999706500273,291.39747969093264,274.3336417044003,202.05997411786132,193.15948339387052,282.2057164745758,395.3754014026457,399.3312303801634,387.5847335598238,128.113720441531,134.6997151300289,144.54173796182153,142.41918303027236,131.51115266658974,125.64562173271341,307.3209885010739,292.84001556436834,296.05646052280315,309.4076945104857,322.9897059344275,329.72332847589377,331.07239312215995,329.1654296251312,322.5490629331558,306.2208747029839,302.4791434548975,303.82546964183376,303.1420995635904,308.7823299798674,307.4432233675284,308.5211805401308,307.0655649308453,0.2157,135.85301561096108,4.714632641635063,33.639589657259876,36.176704007217026,57.34155918735304,4.1752883723576,4.4066002276077025,4.592109981297463,4.514591018742265,0.0529240050226285
203.26768586741292,178.42023464473715,201.4619155902385,276.730949852279,298.8100318968651,278.07206221931693,200.63049118361744,187.85533539726737,289.8973449885265,383.7854415893504,385.9661359808136,369.69201476581475,113.63320211398045,116.82478850376083,124.0583113632486,124.23582112667162,115.40014213040615,112.73227480366614,304.2333316753053,296.8960439173459,297.7636881470183,304.06136909198915,320.8327786883423,328.31103008196106,329.4922531400333,327.8375619445957,320.3677944734934,305.2869695909172,306.6284082626673,308.01389807056086,306.31548204369176,305.18450991129436,307.86803986421876,308.96344478298914,307.21869348699124,0.1857,124.40125112944524,0.988134719604371,37.240396528199646,38.3246583619162,65.94120037836413,3.214677266306305,3.3296343909501873,3.1631784229079276,3.210163453168446,0.009683602130560166
202.50672237985782,181.21493723552845,202.95690146350915,275.69903387525636,297.2217178516583,277.1204281030266,202.44028373646904,190.43599909836837,288.3002844519832,384.555900954769,386.0987175308016,368.4813493782237,113.35008580229535,116.79442217186804,124.17451177331995,124.25813282448169,115.5315970215454,112.5099478831873,305.2888719227267,297.32621687678227,297.9277647908145,304.60648487117226,321.5056283788405,328.9847213774604,330.2645652935773,328.69572964291723,321.44360806887914,306.05848014897623,306.733666953464,308.0362571046327,306.4864039235122,305.76736106870885,308.28188371479655,309.5918377550107,307.92939889248277,0.1719,125.803882594749,1.5647207786250688,36.79120162565602,37.57246929353383,67.71559338051405,3.2112388569393646,3.325114468289722,3.1718895609904334,3.218502475204905,0.015988609633545457
207.8622239500874,185.59100766118007,204.1285073439078,269.1496475536363,285.8880757766956,270.0105836414205,203.56013409117008,196.64104031285592,276.0671869839484,412.76532233422296,415.2287912120872,395.16647613938034,90.34570733839993,94.46542036508049,104.68992152235157,104.14503619497765,93.28791540088548,90.86088734840195,332.07600885349103,311.5081852694613,312.10781818757295,330.70421038904385,344.8605211700849,348.85519553526984,349.1209890436149,347.9030710313673,343.2032407892671,330.7669024251252,321.72508739205585,322.1618591806228,321.82957411885815,329.60494094095037,324.29839686206265,324.62463723715274,323.0735706364728,0.1896,148.30442836181453,2.4657435086648003,56.35734454816534,57.92463961794683,64.33901632350252,2.503009105182674,2.591768835517819,2.4071024394006337,2.5342711154810935,0.03104115954058069
204.20654755372078,184.45276464172935,204.5903489455003,273.0381489398062,292.8431053707018,274.29560138230704,204.05946391762592,193.72868909663487,284.12123885789117,384.17024757589735,386.4008014926498,369.11686502134194,114.02459759002414,117.47720088588477,124.45691483374594,124.4422708393426,116.2207139814764,113.1506246932718,309.4932785776544,299.7761032144642,300.5831321368011,309.0745568915286,323.97297058223336,330.2188755797742,331.17009152392853,329.6554841027848,323.2172761018157,309.8447344433341,308.5837416944941,309.8334698322547,308.6038570714217,309.81592922357373,309.79307815538397,310.78034085499274,309.17384639204334,0.1585,125.22981509165476,0.9594686458994532,36.6977340447868,37.91185519249047,65.62070609337293,3.08452782879414,3.187051422220029,3.011856299157501,3.074591612972274,0.010614465458899977
202.17072498666641,183.33254990209974,203.51883749818836,272.8798727927395,292.99810818650786,274.3427526763455,203.1772833330989,192.62482758043944,284.12998485232083,386.7456519820936,388.7380782191463,371.1550702391323,112.66888248734534,115.79702077547174,122.70246040283621,122.86378130049798,114.81988167089736,112.27042956877204,310.3401630601889,300.4593389005,300.86199456791013,309.4873283346745,324.6972380195262,331.32077018644765,332.45292606542847,330.9990982562403,324.5646897869783,310.79405993457175,309.3955144370072,310.45121261599405,309.14755225563135,310.1288941090427,310.5771334369144,311.755842841473,310.11030502764874,0.2085,127.06265879271888,1.3174222305013492,38.71826845792621,39.57482545513145,66.86528202175784,3.1378696902955237,3.244599701207682,3.05744095698992,3.102856368365315,0.01439686531763408
206.76228640675134,183.018471715195,205.18171881805637,274.1800987418386,295.75917352985795,275.5431674764697,205.41402125904614,191.8482419477176,286.86107904998545,391.28466686838715,391.0853878136165,371.5845088824907,121.01785783863835,124.88956518846766,132.65689337469877,132.12054803300185,124.43065399376724,121.1328703216773,306.4544200961705,299.8747950763722,299.150558054463,304.76225623680386,316.8044048322289,322.6199370191638,324.29046486686946,323.3942784891296,318.9224565000768,307.2697561145462,307.22079040394544,308.21376946543114,306.396344485923,305.7404317113636,304.2441306944002,306.1856780565941,304.958119079207,0.1991,131.63942880839343,2.0376369610569864,31.70925606184708,31.639646765987735,58.21700690770678,3.7788126089733374,3.940515578885813,3.566270052536809,3.7484283068979165,0.021443134617471
203.42402950216882,184.38503222784556,204.79749110219393,274.70996204225423,294.535239589587,275.88352187795476,204.06259120234427,193.64907407220397,285.71322951806815,385.0225250941605,387.2265825390452,370.1339380254773,114.71519881101221,117.978494761317,124.53912615914498,124.64268972379497,116.94462531514432,114.16671332753248,308.52967342533896,298.4602442317025,299.0870847842507,307.9095765467679,322.5531434609459,329.0432874093454,330.1970979141127,328.65135150033666,322.10484970512755,308.93654175529724,307.49451946983726,308.53914668164026,307.3520994979853,308.5868340904791,308.53657766298227,309.60480773370546,307.9660949572436,0.1804,126.32130406533321,1.0764542876942695,36.67581443768906,37.59310590242237,68.38269875124577,3.1627303683169368,3.272999539799231,3.087562220009128,3.1312334387430485,0.01169235210611793
202.27784977018746,181.0240016840125,202.97435462537146,274.00083822125595,295.6572949524954,275.5113092063411,202.53901883893752,190.1931097961983,286.7448194736224,386.0626773953568,387.4389995039375,369.73912455182113,112.94172142335412,115.9696300622318,123.35899734301569,123.53332607625094,115.3531608894067,112.80822060905513,307.8182389719996,299.77384281717315,299.83054826013995,306.3591269166873,323.22834813711523,330.5762394367577,331.8885654025616,330.7346906459622,323.7860056648063,308.54325856421843,308.8625912158974,309.846673674699,308.2453119653155,307.56095827648153,310.8749863790146,312.2315425903327,310.77048634840435,0.1928,125.70071727614776,2.388214743277265,39.071222395784716,39.49301405597582,66.47650541787976,3.058153279038663,3.1602384675267454,2.9912915832144638,3.0541341251474035,0.024733804949655384
